Country,Life_Expectancy,Expected_Schooling,Mean_Schooling,GNI_Per_Capita,HDI,HDI_Category
Vanuatu,71.477,11.81160992,7.183209727,3403.690193,0.621,Medium
Lao People's Democratic Republic,68.964,9.605483055,6.06024616,8106.153218,0.617,Medium
Angola,64.617,12.1676,5.956173009,6631.276544,0.616,Medium
Micronesia (Federated States of),67.198,11.54008512,7.33252398,4245.878243,0.615,Medium
Myanmar,66.889,11.50456047,6.380000114,4918.810577,0.609,Medium
Cambodia,70.668,11.19789219,5.197100163,4931.016842,0.606,Medium
Comoros,66.777,13.29446063,6.006840229,3481.12144,0.603,Medium
Zimbabwe,62.775,11.05745312,8.930847216,3511.463215,0.598,Medium
Zambia,66.349,11.02052892,7.397408543,3446.675821,0.595,Medium
Cameroon,63.7,10.79187965,6.574180412,4746.26582,0.588,Medium
Solomon Islands,70.528,11.31304207,5.8796802,2777.266749,0.584,Medium
Côte d'Ivoire,61.944,11.41112995,4.869999886,6735.416265,0.582,Medium
Uganda,68.252,11.56404819,6.323663082,2736.410021,0.582,Medium
Rwanda,67.785,12.59045029,4.880000114,2970.559461,0.578,Medium
Papua New Guinea,66.134,11.51107187,4.962531078,3970.647707,0.576,Medium
Togo,62.739,13.09642387,5.861114619,2855.963828,0.571,Medium
Syrian Arab Republic,72.12,7.418754527,5.935520062,3917.702385,0.564,Medium
Mauritania,68.484,7.949540636,4.852025862,6267.470808,0.563,Medium
Nigeria,54.462,10.51407,7.585969925,5569.374975,0.56,Medium
Tanzania (United Republic of),66.995,8.585740089,6.065350056,3514.632861,0.555,Medium
Haiti,64.936,10.89635878,5.3822999,2934.925802,0.554,Medium
Lesotho,57.375,10.98659352,7.729883486,3029.3857,0.55,Medium
Pakistan,67.649,7.89510849,4.316987038,5501.132932,0.544,Low
Senegal,68.683,9.142709732,2.934554012,4202.030729,0.53,Low
Gambia,65.86,8.977899686,4.674727154,2812.017602,0.524,Low
Congo (Democratic Republic of the),61.895,10.91147386,7.378561086,1431.047931,0.522,Low
Malawi,67.353,9.902591705,5.243740082,1633.692615,0.517,Low
Benin,60.774,10.4464798,3.194200039,3805.527516,0.515,Low
Guinea-Bissau,64.085,10.63534621,3.673035,2403.059237,0.514,Low
Djibouti,65.987,6.207350016,3.95041503,6367.606026,0.513,Low
Sudan,66.331,8.620371878,3.962,2810.312012,0.511,Low
Liberia,62.163,10.46585369,6.169891955,1537.85939,0.51,Low
Eritrea,68.624,7.336672297,5.09136442,2029.070062,0.503,Low
Guinea,60.74,10.39330626,2.486339025,3494.347723,0.5,Low
Ethiopia,67.315,9.217651571,2.402539813,2795.506984,0.497,Low
Afghanistan,66.035,10.79014324,2.514790058,1971.549458,0.496,Low
Mozambique,63.611,10.84830885,4.590489864,1355.767076,0.493,Low
Madagascar,63.632,9.062584503,4.592520237,1655.764683,0.487,Low
Yemen,69.295,7.494902735,5.484149933,1018.20058,0.47,Low
Sierra Leone,61.786,9.064124575,3.535297609,1713.727772,0.467,Low
Burkina Faso,61.092,8.733340263,2.266550064,2390.527778,0.459,Low
Burundi,63.651,9.829423879,3.473935556,858.9155681,0.439,Low
Mali,60.439,7.011331533,1.629999995,2341.588118,0.419,Low
Niger,61.183,8.308919801,1.412289341,1590.18796,0.419,Low
Chad,55.069,8.347590231,2.334984892,1748.000992,0.416,Low
Central African Republic,57.408,7.435767778,3.989431459,1099.860681,0.414,Low
Somalia,58.816,7.486165162,1.899999976,1474.738459,0.404,Low
South Sudan,57.617,5.634770141,5.730000019,688.3472771,0.388,Low
Very high human development,80.00734097651696,16.377017501662163,12.526769617189315,53014.29175128398,0.914,Very High
High human development,75.67913587322337,14.612139569663686,8.687857454425608,18405.1649048944,0.777,High
Medium human development,69.32365820373055,12.10085987663544,6.843278177647313,7822.469712305082,0.656,Medium
Low human development,65.03837136297814,8.945344458145303,4.034071018602199,3006.711425932787,0.515,Low
Developing countries,72.02037604430481,12.654804615352214,7.75558473138864,13300.966251258846,0.712,High
Arab States,72.46851707157701,11.965759666595003,8.071574176777197,15824.501228365296,0.719,High
East Asia and the Pacific,75.91241428453144,14.590005501364358,8.25822787813953,19519.80012176473,0.775,High
Europe and Central Asia,74.78936325946322,15.55734509317559,10.696732323275505,23171.472177407966,0.818,Very High
Latin America and the Caribbean,75.61125553519801,14.772934084286774,9.12951795301269,18047.95616324888,0.783,High
South Asia,71.86941510683957,12.148221229449977,6.793585591787748,8722.022591586345,0.672,Medium
Sub-Saharan Africa,62.506276568679844,10.34560970495754,6.163414190646486,4351.5549195905705,0.568,Medium
Least developed countries,66.51610026074621,10.170740695382651,5.051676057051539,3637.195380667065,0.56,Medium
Small island developing states,71.86289126876027,12.613778929194082,8.604207589827041,19343.12171683203,0.739,High
Organisation for Economic Co-operation and Development,80.57029927450297,16.504431287757832,12.347757577738268,52697.597733953444,0.916,Very High
World,73.3833980346371,13.040365957534462,8.775209151620453,20327.308722627044,0.756,High
